-DOCSTART- -X- -X- O

6 NN O O
ADVERSE NN O O
REACTIONS NN O O
The NN O O
following NN O O
risk NN O O
is NN O O
discussed NN O O
elsewhere NN O O
in NN O O
the NN O O
labeling NN O O
: NN O O
* NN O O
Hypotension NN B-AdverseReaction B-AdverseReaction
and NN O O
Reflex NN B-AdverseReaction B-AdverseReaction
Tachycardia NN I-AdverseReaction I-AdverseReaction
[ NN O O
see NN O O
Warnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.2 NN O O
) NN O O
] NN O O
EXCERPT NN O O
: NN O O
Most NN O O
common NN O O
adverse NN O O
reactions NN O O
( NN O O
>2 NN O O
% NN O O
) NN O O
are NN O O
headache NN B-AdverseReaction B-AdverseReaction
nausea NN B-AdverseReaction B-AdverseReaction
and NN O O
vomiting NN B-AdverseReaction B-AdverseReaction
( NN O O
6.1 NN O O
) NN O O
To NN O O
report NN O O
SUSPECTED NN O O
ADVERSE NN O O
REACTIONS NN O O
, NN O O
contact NN O O
The NN O O
Medicines NN O O
Company NN O O
at NN O O
1 NN O O
- NN O O
888 NN O O
- NN O O
977-MDCO NN O O
( NN O O
6326 NN O O
) NN O O
or NN O O
FDA NN O O
at NN O O
1 NN O O
- NN O O
800-FDA-1088 NN O O
or NN O O
www.fda.gov/medwatch NN O O
. NN O O
6.1 NN O O
Clinical NN O O
Trials NN O O
Experience NN O O
Cleviprex NN O O
clinical NN O O
development NN O O
included NN O O
19 NN O O
studies NN O O
, NN O O
with NN O O
99 NN O O
healthy NN O O
subjects NN O O
and NN O O
1307 NN O O
hypertensive NN O O
patients NN O O
who NN O O
received NN O O
at NN O O
least NN O O
one NN O O
dose NN O O
of NN O O
clevidipine NN O O
( NN O O
1406 NN O O
total NN O O
exposures NN O O
) NN O O
. NN O O
Clevidipine NN O O
was NN O O
evaluated NN O O
in NN O O
15 NN O O
studies NN O O
in NN O O
hypertensive NN O O
patients NN O O
: NN O O
1099 NN O O
patients NN O O
with NN O O
perioperative NN O O
hypertension NN O O
, NN O O
126 NN O O
with NN O O
severe NN O O
hypertension NN O O
and NN O O
82 NN O O
patients NN O O
with NN O O
essential NN O O
hypertension NN O O
. NN O O
The NN O O
desired NN O O
therapeutic NN O O
response NN O O
was NN O O
achieved NN O O
at NN O O
doses NN O O
of NN O O
4 NN O O
- NN O O
6 NN O O
mg/hour NN O O
. NN O O
Cleviprex NN O O
was NN O O
infused NN O O
for NN O O
< NN O O
24 NN O O
hours NN O O
in NN O O
the NN O O
majority NN O O
of NN O O
patients NN O O
( NN O O
n=1199 NN O O
) NN O O
; NN O O
it NN O O
was NN O O
infused NN O O
as NN O O
a NN O O
continuous NN O O
infusion NN O O
in NN O O
an NN O O
additional NN O O
93 NN O O
patients NN O O
for NN O O
durations NN O O
between NN O O
24 NN O O
and NN O O
72 NN O O
hours NN O O
. NN O O
Because NN O O
clinical NN O O
trials NN O O
are NN O O
conducted NN O O
under NN O O
widely NN O O
varying NN O O
conditions NN O O
, NN O O
adverse NN O O
reaction NN O O
rates NN O O
observed NN O O
in NN O O
the NN O O
clinical NN O O
trials NN O O
of NN O O
a NN O O
drug NN O O
can NN O O
not NN O O
be NN O O
directly NN O O
compared NN O O
to NN O O
rates NN O O
in NN O O
the NN O O
clinical NN O O
trials NN O O
of NN O O
another NN O O
drug NN O O
and NN O O
may NN O O
not NN O O
reflect NN O O
the NN O O
rates NN O O
observed NN O O
in NN O O
practice NN O O
. NN O O
Perioperative NN O O
Hypertension NN O O
The NN O O
placebo NN O O
- NN O O
controlled NN O O
experience NN O O
with NN O O
Cleviprex NN O O
in NN O O
the NN O O
perioperative NN O O
setting NN O O
was NN O O
both NN O O
small NN O O
and NN O O
brief NN O O
( NN O O
about NN O O
30 NN O O
minutes NN O O
) NN O O
. NN O O
Table NN O O
2 NN O O
shows NN O O
treatment NN O O
- NN O O
emergent NN O O
adverse NN O O
reactions NN O O
and NN O O
the NN O O
category NN O O
of NN O O
" NN O O
any NN O O
common NN O O
adverse NN O O
event NN O O
" NN O O
in NN O O
ESCAPE-1 NN O O
and NN O O
ESCAPE-2 NN O O
where NN O O
the NN O O
rate NN O O
on NN O O
Cleviprex NN O O
exceeded NN O O
the NN O O
rate NN O O
on NN O O
placebo NN O O
by NN O O
at NN O O
least NN O O
5 NN O O
% NN O O
( NN O O
common NN O O
adverse NN O O
reactions NN O O
) NN O O
. NN O O
Table NN O O
2 NN O O
. NN O O
Common NN O O
adverse NN O O
reactions NN O O
in NN O O
placebo NN O O
- NN O O
controlled NN O O
perioperative NN O O
studies NN O O
. NN O O
ESCAPE-1 NN O O
ESCAPE-2 NN O O
CLVN=53( NN O O
% NN O O
) NN O O
PBON=51( NN O O
% NN O O
) NN O O
CLVN=61( NN O O
% NN O O
) NN O O
PBON=49( NN O O
% NN O O
) NN O O
Any NN O O
common NN O O
adverse NN O O
event NN O O
27 NN O O
( NN O O
51 NN O O
% NN O O
) NN O O
21 NN O O
( NN O O
41 NN O O
% NN O O
) NN O O
32 NN O O
( NN O O
53 NN O O
% NN O O
) NN O O
24 NN O O
( NN O O
49 NN O O
% NN O O
) NN O O
Acute NN B-AdverseReaction B-AdverseReaction
renal NN I-AdverseReaction I-AdverseReaction
failure NN I-AdverseReaction I-AdverseReaction
5 NN O O
( NN O O
9 NN O O
% NN O O
) NN O O
1 NN O O
( NN O O
2 NN O O
% NN O O
) NN O O
-- NN O O
-- NN O O
Atrial NN B-AdverseReaction B-AdverseReaction
fibrillation NN I-AdverseReaction I-AdverseReaction
-- NN O O
-- NN O O
13 NN O O
( NN O O
21 NN O O
% NN O O
) NN O O
6 NN O O
( NN O O
12 NN O O
% NN O O
) NN O O
Nausea NN B-AdverseReaction B-AdverseReaction
-- NN O O
-- NN O O
13 NN O O
( NN O O
21 NN O O
% NN O O
) NN O O
6 NN O O
( NN O O
12 NN O O
% NN O O
) NN O O
Three NN O O
randomized NN O O
, NN O O
parallel NN O O
, NN O O
open NN O O
- NN O O
label NN O O
studies NN O O
called NN O O
ECLIPSE NN O O
, NN O O
with NN O O
longer NN O O
exposure NN O O
in NN O O
cardiac NN O O
surgery NN O O
patients NN O O
define NN O O
the NN O O
adverse NN O O
reactions NN O O
for NN O O
patients NN O O
with NN O O
perioperative NN O O
hypertension NN O O
. NN O O
Each NN O O
ECLIPSE NN O O
study NN O O
compared NN O O
Cleviprex NN O O
( NN O O
n=752 NN O O
) NN O O
to NN O O
an NN O O
active NN O O
comparator NN O O
: NN O O
nitroglycerin NN O O
( NN O O
NTG NN O O
, NN O O
n=278 NN O O
) NN O O
, NN O O
sodium NN O O
nitroprusside NN O O
( NN O O
SNP NN O O
, NN O O
n=283 NN O O
) NN O O
, NN O O
or NN O O
nicardipine NN O O
( NN O O
NIC NN O O
, NN O O
n=193 NN O O
) NN O O
. NN O O
The NN O O
pooled NN O O
mean NN O O
maximum NN O O
dose NN O O
in NN O O
these NN O O
studies NN O O
was NN O O
10 NN O O
mg/hour NN O O
and NN O O
the NN O O
mean NN O O
duration NN O O
of NN O O
treatment NN O O
was NN O O
8 NN O O
hours NN O O
. NN O O
There NN O O
were NN O O
many NN O O
adverse NN O O
events NN O O
associated NN O O
with NN O O
the NN O O
operative NN O O
procedure NN O O
in NN O O
the NN O O
clinical NN O O
studies NN O O
of NN O O
Cleviprex NN O O
and NN O O
relatively NN O O
few NN O O
plausibly NN O O
related NN O O
to NN O O
the NN O O
drugs NN O O
used NN O O
to NN O O
lower NN O O
blood NN O O
pressure NN O O
. NN O O
Thus NN O O
, NN O O
the NN O O
ability NN O O
to NN O O
differentiate NN O O
the NN O O
adverse NN O O
event NN O O
profile NN O O
between NN O O
treatments NN O O
is NN O O
limited NN O O
. NN O O
The NN O O
adverse NN O O
events NN O O
observed NN O O
within NN O O
one NN O O
hour NN O O
of NN O O
the NN O O
end NN O O
of NN O O
the NN O O
infusion NN O O
were NN O O
similar NN O O
in NN O O
patients NN O O
who NN O O
received NN O O
Cleviprex NN O O
and NN O O
in NN O O
those NN O O
who NN O O
received NN O O
comparator NN O O
agents NN O O
. NN O O
There NN O O
